hotel_id,destination_id,date,day_of_week,is_weekend,is_holiday,occupancy_pct,avg_price_that_night
h_taj_1,taj_mahal,2025-09-04,3,0,0,64.1,45000
h_taj_1,taj_mahal,2025-09-05,4,0,0,72.3,45000
h_taj_1,taj_mahal,2025-09-06,5,1,0,88.6,54000
h_taj_1,taj_mahal,2025-09-07,6,1,0,85.2,54000
h_taj_1,taj_mahal,2025-09-08,0,0,0,64.2,45000
h_taj_1,taj_mahal,2025-09-09,1,0,0,69.1,45000
h_taj_1,taj_mahal,2025-09-10,2,0,0,66.1,45000
h_taj_1,taj_mahal,2025-09-11,3,0,0,68.3,45000
h_taj_1,taj_mahal,2025-09-12,4,0,0,65.8,45000
h_taj_1,taj_mahal,2025-09-13,5,1,0,80.3,45000
h_taj_1,taj_mahal,2025-09-14,6,1,0,74.2,45000
h_taj_1,taj_mahal,2025-09-15,0,0,0,59.5,45000
h_taj_1,taj_mahal,2025-09-16,1,0,0,73.0,45000
h_taj_1,taj_mahal,2025-09-17,2,0,0,57.1,45000
h_taj_1,taj_mahal,2025-09-18,3,0,0,63.4,45000
h_taj_1,taj_mahal,2025-09-19,4,0,0,62.1,45000
h_taj_1,taj_mahal,2025-09-20,5,1,0,79.3,45000
h_taj_1,taj_mahal,2025-09-21,6,1,0,75.1,45000
h_taj_1,taj_mahal,2025-09-22,0,0,0,72.9,45000
h_taj_1,taj_mahal,2025-09-23,1,0,0,56.9,45000
h_taj_1,taj_mahal,2025-09-24,2,0,0,73.4,45000
h_taj_1,taj_mahal,2025-09-25,3,0,0,71.6,45000
h_taj_1,taj_mahal,2025-09-26,4,0,0,71.1,45000
h_taj_1,taj_mahal,2025-09-27,5,1,0,85.8,54000
h_taj_1,taj_mahal,2025-09-28,6,1,0,71.1,45000
h_taj_1,taj_mahal,2025-09-29,0,0,0,64.9,45000
h_taj_1,taj_mahal,2025-09-30,1,0,0,74.8,45000
h_taj_1,taj_mahal,2025-10-01,2,0,0,61.5,45000
h_taj_1,taj_mahal,2025-10-02,3,0,1,97.5,54000
h_taj_1,taj_mahal,2025-10-03,4,0,0,70.6,45000
h_taj_1,taj_mahal,2025-10-04,5,1,0,82.5,45000
h_taj_1,taj_mahal,2025-10-05,6,1,0,89.7,54000
h_taj_1,taj_mahal,2025-10-06,0,0,0,68.7,45000
h_taj_1,taj_mahal,2025-10-07,1,0,0,70.9,45000
h_taj_1,taj_mahal,2025-10-08,2,0,0,62.4,45000
h_taj_1,taj_mahal,2025-10-09,3,0,0,59.6,45000
h_taj_1,taj_mahal,2025-10-10,4,0,0,70.9,45000
h_taj_1,taj_mahal,2025-10-11,5,1,0,88.1,54000
h_taj_1,taj_mahal,2025-10-12,6,1,0,74.0,45000
h_taj_1,taj_mahal,2025-10-13,0,0,0,70.3,45000
h_taj_1,taj_mahal,2025-10-14,1,0,0,61.6,45000
h_taj_1,taj_mahal,2025-10-15,2,0,0,73.2,45000
h_taj_1,taj_mahal,2025-10-16,3,0,0,71.8,45000
h_taj_1,taj_mahal,2025-10-17,4,0,0,66.6,45000
h_taj_1,taj_mahal,2025-10-18,5,1,0,83.3,45000
h_taj_1,taj_mahal,2025-10-19,6,1,0,79.5,45000
h_taj_1,taj_mahal,2025-10-20,0,0,0,58.7,45000
h_taj_1,taj_mahal,2025-10-21,1,0,0,73.4,45000
h_taj_1,taj_mahal,2025-10-22,2,0,0,71.0,45000
h_taj_1,taj_mahal,2025-10-23,3,0,0,63.2,45000
h_taj_1,taj_mahal,2025-10-24,4,0,1,92.0,54000
h_taj_1,taj_mahal,2025-10-25,5,1,0,83.3,45000
h_taj_1,taj_mahal,2025-10-26,6,1,0,86.5,54000
h_taj_1,taj_mahal,2025-10-27,0,0,0,65.6,45000
h_taj_1,taj_mahal,2025-10-28,1,0,0,74.4,45000
h_taj_1,taj_mahal,2025-10-29,2,0,0,56.1,45000
h_taj_1,taj_mahal,2025-10-30,3,0,0,64.4,45000
h_taj_1,taj_mahal,2025-10-31,4,0,0,70.7,45000
h_taj_1,taj_mahal,2025-11-01,5,1,0,95.7,54000
h_taj_1,taj_mahal,2025-11-02,6,1,0,100.0,54000
h_taj_1,taj_mahal,2025-11-03,0,0,0,77.1,45000
h_taj_1,taj_mahal,2025-11-04,1,0,0,79.9,45000
